,0
0,data_resize_all/9.6_c2996bad7feda226091a541b5927397b.jpg
1,data_resize_all/6.1_analog1_20200925-063145.jpg
2,data_resize_all/8.3_41d7410a0055bba4a336f583d8865eb7.jpg
3,data_resize_all/0.7_11e94ec62eb5a1eaf8db39a2304d177d.jpg
4,data_resize_all/5.8_f0dbafc97ed915971cc02bf7d70bfa5b.jpg
5,data_resize_all/3.7_main_ana3_20221213-123635.jpg
6,data_resize_all/1.8_59bd7dbc42300b2db72875b0cbe857fb.jpg
7,data_resize_all/1.7_1.8.jpg
8,data_resize_all/6.2_949b857328039d56a9137a9eb70f5110.jpg
9,data_resize_all/6.1_3013_zeiger2_2020-06-14_11-50-46.jpg
10,data_resize_all/8.8_7e0c810199cd43bfc6891e87144c4489.jpg
11,data_resize_all/8.7_1039c33b317460fb7fe86729700c9c6e.jpg
12,data_resize_all/3.6_d8c7f1c1da9f76a208e72cd64810a9b5.jpg
13,data_resize_all/1.2_5cd10bb48633ffaa5d8e9d333126c5ee.jpg
14,data_resize_all/8.1_4001_zeiger4_2019-06-02T105009.jpg
15,data_resize_all/1.3_1fe175f541247c9266791695b0689d43.jpg
16,data_resize_all/2.7_1325_zeiger3_2020-06-14_13-55-00.jpg
17,data_resize_all/6.2_3089_zeiger3_2020-06-14_14-25-54.jpg
18,data_resize_all/4.8_8491d18717650492fbec094b6a351688.jpg
19,data_resize_all/2.2_870cac6280d671dd72f15cf0b86f3192.jpg
20,data_resize_all/2.3_ana4_20220623-070659.jpg
21,data_resize_all/6.4_e6989a823abd05e4b4d5ecc856de14aa.jpg
22,data_resize_all/5.9_3bd6db53d18fd79741606c713dd82db5.jpg
23,data_resize_all/8.0_91025bf02aac8cc68b861a3f9ef98cb6.jpg
24,data_resize_all/4.8_621fc62f36dd9cffc9d887a05bab3f78.jpg
25,data_resize_all/6.5_3159_zeiger3_2019-11-19_02-42-03.jpg
26,data_resize_all/7.0_9e64b1c2e2838e0a6ae5c839a77e5b06.jpg
27,data_resize_all/1.4_pointer_20211011-145832.jpg
28,data_resize_all/4.8_analog1_20201007-155509.jpg
29,data_resize_all/9.8_adc4d1b3806051194924389d902c84fb.jpg
30,data_resize_all/1.5_0ce3dca825124f04f02a648b41322651.jpg
31,data_resize_all/8.0.jpg
32,data_resize_all/2.7_da175f26de0f7f07cd6236b2a28239c0.jpg
33,data_resize_all/2.2_0f1654d4f09db42e8414d51225910009.jpg
34,data_resize_all/9.8_166942e23d29eef618f47437c736d6d8.jpg
35,data_resize_all/6.5_3156_zeiger3_2019-11-19_02-27-03.jpg
36,data_resize_all/1.6_0688_zeiger2_2019-11-19_18-07-04.jpg
37,data_resize_all/6.3_40c929fdddd4d74ddc1281813aed0384.jpg
