,0
0,data_resize_all/6.8_3420_zeiger4_2019-09-15_06-00-12.jpg
1,data_resize_all/8.0_fcf8e00e910284c952b71703d32f2ac9.jpg
2,data_resize_all/9.6.jpg
3,data_resize_all/7.1_08ecf92764f24292cfb76b25f6b5d058.jpg
4,data_resize_all/7.7_292cf2946a9f1ded9bc2f502e03de33e.jpg
5,data_resize_all/3.8_1884_zeiger4_2019-06-04T110009.jpg
6,data_resize_all/8.0_10379cd7623f772faeea85bf23137b45.jpg
7,data_resize_all/7.9_3991_zeiger2_2020-06-14_16-50-43.jpg
8,data_resize_all/7.8_20244588b67d3e8c4207203315e7dc95.jpg
9,data_resize_all/0.2_7273ebd6222ca6f11a9efb89b164f666.jpg
10,data_resize_all/8.1_e8cd5827f6d9cbb09b7004d294afae73.jpg
11,data_resize_all/5.1_ccbabfdfa2e6cea60e4b89228a69ebc4.jpg
12,data_resize_all/5.9_3bd6db53d18fd79741606c713dd82db5.jpg
13,data_resize_all/5.8_73e0dd5d5c3904afb4a8b2f68c37ff18.jpg
14,data_resize_all/2.8_c30648d48510d5219756c3d9176c073e.jpg
15,data_resize_all/1.8_274b3ae2c892ae90caa525cf0aef9b82.jpg
16,data_resize_all/3.9_main_ana3_20221213-124105.jpg
17,data_resize_all/6.4_3110_zeiger1_2019-09-14_21-20-13.jpg
18,data_resize_all/7.2_analog3_20201013-082248.jpg
19,data_resize_all/3.7_1814_analog1_20200821-173148.jpg
20,data_resize_all/4.2_pointer_20211010-104009.jpg
21,data_resize_all/7.3_49ccb6c82ca261f12e65881ecfa0163d.jpg
22,data_resize_all/7.8_1b2e815c2dfd4dc2b1bee368c9ee3db5.jpg
23,data_resize_all/2.0_5f88ba4effbece36968e23aec1e4c49c.jpg
24,data_resize_all/5.6_2dc3f2f1fee610ad878915c769112cef.jpg
25,data_resize_all/8.0_4055_zeiger4_2020-04-29_14-00-02.jpg
26,data_resize_all/6.5_98a0eff9b1d428320a0a2b032ce734a9.jpg
27,data_resize_all/4.5_d7b47aeb326fc38eac5e4c643e71a720.jpg
28,data_resize_all/8.1_5f96cd893b4ac27838f583d458372246.jpg
29,data_resize_all/2.5_2bcf5e3ebfa120ee24fa8d59ff22b2f3.jpg
30,data_resize_all/1.8_22cae0da6ea3b4840332b9b6ae35b205.jpg
31,data_resize_all/9.4_4576_zeiger1_2019-06-03T123009.jpg
32,data_resize_all/8.5_a52a45ad003360421626c5a8e70bf1c8.jpg
33,data_resize_all/3.2_1637_zeiger4_2019-06-03T065009.jpg
34,data_resize_all/4.2_pointer_20211010-103636.jpg
35,data_resize_all/2.8_438af89d06cd9c63f95bbc4648ee1939.jpg
36,data_resize_all/6.8_3426_analog2_20200816-075213.jpg
37,data_resize_all/8.3_8.3.jpg
38,data_resize_all/1.7_1.8.jpg
39,data_resize_all/7.0_9e64b1c2e2838e0a6ae5c839a77e5b06.jpg
40,data_resize_all/6.4_c0fa89df519f3e665d7778b437c7d493.jpg
41,data_resize_all/5.1_8daed43c08764686af4e30cf92855a89.jpg
42,data_resize_all/2.8_072d1b6c07e33cafd28944fdbc739861.jpg
43,data_resize_all/5.1_2572_zeiger4_2020-04-29_13-28-02.jpg
44,data_resize_all/9.3_7828b99d31eadb1fd2df69ec736d8557.jpg
45,data_resize_all/6.4_ede1c9c6a229920a25b9ac4e1cf30bb5.jpg
46,data_resize_all/5.1_61fa9c27e231ec580793626bcfda3246.jpg
47,data_resize_all/7.6_025d7bf6140a274ce1724674c7bfc644.jpg
48,data_resize_all/5.0_2446_analog1_20200813-104010.jpg
49,data_resize_all/6.7_6fd2eb6346043d9d720188b3825ec655.jpg
50,data_resize_all/0.6_32ef685c975b1322a248c01dc76d55b4.jpg
51,data_resize_all/4.2_2127_zeiger4_2020-04-29_13-22-02.jpg
